ID,Price,Housing Type,Size,Note,Provider Type,Address,Rent Price Info,Listing Date
1517793,325,Mehrbettzimmer,16,9  Mitbewohner(innen),Vermietungsunternehmen,Wilhelminenhofstra�e,(Nebenkosten inklusive),24. Mai
1130710,1850,Wohnung,36,1 Schlafzimmer,Vermietungsunternehmen,Wilhelminenhofstra�e,(Nebenkosten inklusive),24. Juni
1445433,920,WG-Zimmer,14,1 Mitbewohner(in),Vermietungsunternehmen,Klara-Franke-Stra�e,(Nebenkosten inklusive),4. Juli
1468852,920,WG-Zimmer,14,1 Mitbewohner(in),Vermietungsunternehmen,Klara-Franke-Stra�e,(Nebenkosten inklusive),4. Juli
933312,720,WG-Zimmer,12,7  Mitbewohner(innen),Vermietungsunternehmen,Hohenzollerndamm,(Nebenkosten inklusive),16. Juli
1456769,615,WG-Zimmer,10,3  Mitbewohner(innen),Vermietungsunternehmen,Bismarckstra�e,(Nebenkosten inklusive),19. Juli
1452446,825,WG-Zimmer,11,4  Mitbewohner(innen),Vermietungsunternehmen,M�llerstra�e,(Nebenkosten inklusive),4. Aug.
1480756,920,WG-Zimmer,11,3  Mitbewohner(innen),Vermietungsunternehmen,Klara-Franke-Stra�e,(Nebenkosten inklusive),4. Aug.
964099,720,WG-Zimmer,12,7  Mitbewohner(innen),Vermietungsunternehmen,Hohenzollerndamm,(Nebenkosten inklusive),1. Sept.
1072963,1695,Wohnung,60,1 Schlafzimmer,Vermietungsunternehmen,Eislebener Stra�e,(Nebenkosten inklusive),16. Aug.
998568,1550,Studio,35,Max. 2 Personen,Vermietungsunternehmen,Huttenstra�e,(Nebenkosten inklusive),17. Juni
1323753,950,Studio,30,Max. 1 Person,Privater Vermieter,Alt-Moabit,(Nebenkosten inklusive),1. Juli
1515807,852,WG-Zimmer,10,2  Mitbewohner(innen),Vermietungsunternehmen,M�llerstra�e,(Nebenkosten inklusive),19. Juli
1025419,1350,Wohnung,36,1 Schlafzimmer,Vermietungsunternehmen,Schwedter Stra�e,(Nebenkosten inklusive),1. Aug.
856687,1589,Wohnung,40,1 Schlafzimmer,Privater Vermieter,Schivelbeiner Stra�e,(einige Nebenkosten inklusive),1. Aug.
1512751,916,WG-Zimmer,10,6  Mitbewohner(innen),Vermietungsunternehmen,Feilnerstra�e,(Nebenkosten inklusive),4. Aug.
1286310,1700,Studio,44,Max. 2 Personen,Vermietungsunternehmen,Holtzendorffstra�e,(Nebenkosten inklusive),4. Aug.
1090359,810,WG-Zimmer,21,3  Mitbewohner(innen),Vermietungsunternehmen,Badensche Stra�e,(Nebenkosten inklusive),16. Juli
609149,660,WG-Zimmer,11,4  Mitbewohner(innen),Vermietungsunternehmen,Koloniestra�e,(Nebenkosten inklusive),16. Juli
1488484,1495,Wohnung,65,1 Schlafzimmer,Vermietungsunternehmen,Flughafenstra�e,(Nebenkosten inklusive),1. Aug.
1115086,660,WG-Zimmer,10,5  Mitbewohner(innen),Vermietungsunternehmen,Residenzstra�e,(Nebenkosten inklusive),1. Aug.
1443725,1491,Studio,31,Max. 2 Personen,Vermietungsunternehmen,Braunschweiger Stra�e,(Nebenkosten inklusive),26. Sept.
1510104,1950,Wohnung,47,1 Schlafzimmer,Vermietungsunternehmen,Cunostra�e,(Nebenkosten inklusive),24. Mai
1510102,1950,Wohnung,47,1 Schlafzimmer,Vermietungsunternehmen,Cunostra�e,(Nebenkosten inklusive),24. Mai
1510095,1950,Wohnung,47,1 Schlafzimmer,Vermietungsunternehmen,Cunostra�e,(Nebenkosten inklusive),24. Mai
1130728,1364,Studio,21,Max. 1 Person,WG,Wilhelminenhofstra�e,(Nebenkosten inklusive),5. Aug.
1473475,977,WG-Zimmer,25,1 Mitbewohner(in),Vermietungsunternehmen,Meraner Stra�e,(Nebenkosten inklusive),19. Aug.
1450540,1625,Wohnung,57,1 Schlafzimmer,Vermietungsunternehmen,Linienstra�e,(Nebenkosten inklusive),24. Mai
1483203,580,WG-Zimmer,14.1,3  Mitbewohner(innen),Vermietungsunternehmen,Dahlmannstra�e,(Nebenkosten inklusive),24. Mai
1298512,582,WG-Zimmer,8,6  Mitbewohner(innen),Vermietungsunternehmen,Heinrich-Roller-Stra�e,(Nebenkosten inklusive),3. Juni
1475774,2100,Wohnung,55,1 Schlafzimmer,Vermietungsunternehmen,Von-der-Heydt-Stra�e,(Nebenkosten inklusive),30. Juni
552721,2100,Wohnung,62,2 Schlafzimmer,Vermietungsunternehmen,K�penicker Stra�e,(Nebenkosten inklusive),1. Juli
1043629,650,WG-Zimmer,10,5  Mitbewohner(innen),Vermietungsunternehmen,Karl-Marx-Stra�e,(Nebenkosten inklusive),31. Juli
1118025,450,WG-Zimmer,25,6  Mitbewohner(innen),Studentenwohnungen,Grunewaldstra�e,(Nebenkosten inklusive),10. Okt.
1508262,3450,Wohnung,45,1 Schlafzimmer,Vermietungsunternehmen,Behrenstra�e,(Nebenkosten inklusive),24. Mai
1479422,1150,Wohnung,40,1 Schlafzimmer,Privater Vermieter,Burggrafenstra�e,(einige Nebenkosten inklusive),24. Mai
1189463,1290,Studio,22,Max. 1 Person,Vermietungsunternehmen,Reinickendorfer Stra�e,(Nebenkosten inklusive),1. Juni
1078667,2300,Wohnung,82,2 Schlafzimmer,Vermietungsunternehmen,Eislebener Stra�e,(Nebenkosten inklusive),1. Juni
1518957,390,Mehrbettzimmer,27,4  Mitbewohner(innen),Vermietungsunternehmen,Paul-Schneider-Stra�e,(Nebenkosten exklusive),2. Juni
1444065,2221,Wohnung,57,2 Schlafzimmer,Vermietungsunternehmen,Braunschweiger Stra�e,(Nebenkosten inklusive),3. Juni
1519992,1525,Wohnung,75,2 Schlafzimmer,Privater Vermieter,Rigaer Stra�e,(Nebenkosten inklusive),1. Juli
1268344,1600,Wohnung,60,2 Schlafzimmer,Vermietungsunternehmen,Kamminer Stra�e,(einige Nebenkosten inklusive),1. Juli
1069746,699,WG-Zimmer,11,4  Mitbewohner(innen),Vermietungsunternehmen,Bornholmer Stra�e,(Nebenkosten inklusive),5. Juli
1041813,699,WG-Zimmer,9,4  Mitbewohner(innen),Vermietungsunternehmen,Bornholmer Stra�e,(Nebenkosten inklusive),5. Juli
1362807,1690,Studio,15,Max. 1 Person,Vermietungsunternehmen,Pankstra�e,(Nebenkosten inklusive),1. Aug.
1003862,680,WG-Zimmer,9,4  Mitbewohner(innen),Vermietungsunternehmen,Prenzlauer Promenade,(Nebenkosten inklusive),1. Aug.
1034165,2200,Wohnung,52,1 Schlafzimmer,Vermietungsunternehmen,Friedrichstra�e,(Nebenkosten inklusive),11. Aug.
1101256,700,WG-Zimmer,12,7  Mitbewohner(innen),Vermietungsunternehmen,Weimarische Stra�e,(Nebenkosten inklusive),16. Aug.
1084297,1800,Wohnung,50,1 Schlafzimmer,Vermietungsunternehmen,Brunnenstra�e,(Nebenkosten inklusive),1. Sept.
1462041,2100,Wohnung,70,2 Schlafzimmer,Studentenwohnungen,Reinickendorfer Stra�e,(Nebenkosten inklusive),1. Juli
